"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Gestão de Produtos","Controle de Produtos","Buscar Produto por ID","0","0","4","0","0"
"Gestão de Produtos","Controle de Produtos","Atualizar Produto","0","0","13","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a exclusão de produto","0","0","1","0","0"
"Configuração do Ambiente de Teste","Carregamento de Perfis","Validação do Carregamento de Perfis","0","0","1","0","0"
"Gestão de Produtos","Controle de Produtos","Listar Produtos","0","0","1","0","0"
"Gestão de Produtos","Controle de Produtos","Cadastrar Produto","0","0","10","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a falha ao tentar excluir produto com ID inválido","0","0","1","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a busca de produto por ID","0","0","1","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a falha ao tentar atualizar produto com ID inválido","0","0","1","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a Listagem de Produtos","0","0","1","0","0"
"Gestão de Produtos","Controle de Produtos","Deletar Produto","0","0","4","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a busca de produto por ID inválido","0","0","1","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar o cadastro de produto","0","0","1","0","0"
"Gestão de Produtos","Testes de Serviço de Produto","Testar a atualização de produto","0","0","1","0","0"
"Mapeamento de Objetos","Mapeamento para ProdutoModel","Atualizar ProdutoEntity com ProdutoRequest","0","0","1","0","0"
